test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,4,0.998970868,"[25.2, 1.9, 14.7, 8.3, 4.9, 7.9, 2.8, 3.6, 6.7, 8.3, 84.3, 8.3, 6.0, 29.0, 6.3, 6.3]",49.125,100,51,2547445760,737
multi-robot,4,0.999804573,"[0.9, 0.9, 1.9, 4.7, 0.9, 26.7, 0.9, 11.0, 28.7, 16.2, 100.0, 4.7, 0.9, 0.9, 0.0, 0.9]",49.5,71,53,2547048448,737
multi-robot,4,0.9992751230000001,"[2.8, 2.8, 1.9, 9.2, 1.1, 23.7, 0.0, 25.9, 1.8, 6.5, 100.0, 6.4, 1.0, 0.9, 1.9, 0.9]",49.75,83,54,2547863552,737
multi-robot,4,0.9988682350000001,"[83.5, 7.5, 5.5, 1.9, 23.3, 45.5, 0.0, 0.0, 10.2, 8.9, 9.2, 0.9, 3.9, 8.8, 25.0, 3.7]",49.375,95,55,2547314688,737
multi-robot,4,0.999389065,"[6.3, 13.5, 3.6, 1.9, 20.5, 15.8, 19.1, 17.0, 100.0, 10.0, 2.8, 3.7, 5.9, 4.6, 11.0, 4.0]",49.25,92,56,2542551040,737
multi-robot,4,1.000150928,"[26.1, 2.7, 0.9, 1.8, 0.9, 19.8, 7.3, 17.0, 88.2, 0.9, 2.8, 6.4, 0.9, 13.6, 0.9, 11.8]",49.25,100,57,2536665088,737
multi-robot,4,1.000251228,"[51.7, 40.9, 12.7, 23.1, 1.9, 1.8, 22.9, 0.9, 18.1, 5.4, 33.9, 14.3, 4.6, 0.9, 0.9, 0.9]",49.5,100,58,2538524672,737
multi-robot,4,0.998683532,"[3.0, 1.9, 100.0, 9.6, 15.3, 4.5, 5.5, 2.8, 0.0, 1.9, 0.9, 16.8, 1.9, 4.6, 21.8, 3.7]",50.125,100,58,2534256640,737
multi-robot,4,0.9989109020000001,"[13.8, 20.2, 72.5, 5.5, 47.1, 2.8, 24.8, 2.8, 1.9, 0.9, 12.7, 0.0, 1.0, 4.5, 3.6, 2.8]",50.0,100,59,2535227392,737
multi-robot,4,0.9998258090000001,"[4.7, 6.5, 0.9, 1.9, 8.3, 24.1, 5.6, 3.7, 1.9, 0.9, 100.0, 27.4, 1.9, 1.9, 1.0, 3.7]",50.0,100,59,2535014400,737
multi-robot,4,0.9993635580000001,"[1.8, 1.8, 1.8, 5.6, 2.6, 19.3, 2.7, 5.5, 1.9, 0.9, 41.8, 72.2, 1.9, 21.6, 6.4, 3.7]",50.125,100,59,2534363136,737
multi-robot,4,1.000182595,"[2.7, 26.1, 38.7, 4.5, 11.8, 1.8, 2.8, 2.9, 1.8, 1.8, 53.6, 20.0, 3.6, 1.8, 30.6, 27.4]",50.0,100,60,2533687296,737
multi-robot,4,0.999364443,"[0.0, 0.0, 100.0, 0.9, 15.6, 24.3, 4.7, 23.6, 0.9, 0.0, 0.0, 0.9, 33.6, 3.8, 0.0, 5.0]",50.125,100,60,2534977536,737
multi-robot,4,0.999661643,"[28.0, 3.7, 100.0, 0.0, 3.1, 0.0, 29.7, 16.8, 1.9, 0.9, 0.0, 0.9, 7.5, 1.9, 2.3, 1.9]",50.5,100,61,2534682624,737
multi-robot,4,0.998203331,"[3.6, 4.6, 100.0, 1.8, 2.2, 6.3, 1.9, 20.9, 3.6, 24.1, 2.7, 2.8, 4.5, 20.5, 3.1, 2.7]",50.25,100,61,2533597184,737
multi-robot,4,0.9997427750000001,"[0.9, 0.0, 100.0, 0.9, 7.1, 12.7, 0.9, 2.7, 0.9, 0.0, 0.0, 2.7, 13.4, 26.4, 6.5, 26.7]",50.25,100,61,2530078720,737
multi-robot,4,0.9990772560000001,"[0.9, 2.7, 100.0, 3.6, 39.9, 13.9, 28.2, 20.8, 1.9, 1.8, 2.7, 0.9, 0.9, 5.5, 4.6, 4.1]",50.375,100,62,2530336768,737
multi-robot,4,0.9992118870000001,"[37.5, 2.8, 100.0, 2.8, 2.2, 14.4, 1.9, 2.4, 4.6, 1.9, 2.8, 4.6, 2.8, 2.0, 1.9, 9.0]",50.75,100,62,2531143680,737
multi-robot,4,1.000256389,"[5.5, 1.9, 100.0, 1.9, 11.2, 2.7, 2.9, 4.6, 1.9, 2.8, 4.5, 2.8, 4.3, 12.1, 5.5, 28.2]",50.625,100,62,2531844096,737
multi-robot,4,1.000021631,"[35.3, 10.5, 91.9, 0.9, 19.1, 2.8, 5.5, 1.8, 6.3, 0.0, 9.2, 2.8, 0.9, 24.3, 25.2, 8.0]",50.75,100,63,2529419264,737
multi-robot,5,0.998784282,"[3.8, 3.8, 8.3, 0.0, 12.1, 13.7, 100.0, 6.4, 1.0, 0.0, 5.6, 0.0, 0.0, 31.1, 1.9, 8.5]",49.625,100,54,2566340608,737
multi-robot,5,0.998787791,"[3.7, 0.0, 0.0, 2.8, 10.0, 16.4, 100.0, 27.8, 1.9, 0.9, 0.0, 25.9, 2.8, 8.5, 0.0, 7.8]",49.625,81,54,2562535424,737
multi-robot,5,0.9994135110000001,"[20.6, 0.9, 1.9, 0.9, 27.1, 18.0, 100.0, 7.3, 6.5, 0.9, 2.8, 4.8, 1.9, 7.6, 0.9, 11.8]",50.125,80,55,2561974272,737
multi-robot,5,0.999731409,"[8.3, 2.8, 24.3, 2.8, 4.3, 0.0, 100.0, 5.0, 0.9, 0.9, 2.9, 10.1, 42.5, 9.3, 1.9, 6.7]",50.375,91,56,2562220032,737
